"co2","relative_temp"
315.71,0.1
317.45,0.01
317.5,0.08
null,-0.05
315.86,0.06
314.93,-0.06
313.2,-0.03
null,0.04
313.33,0.02
314.67,0.01
315.62,0.06
316.38,0.09
316.71,0.19
317.72,0.16
318.29,0.06
318.15,0.02
316.54,0.06
314.8,-0.01
313.84,-0.06
313.26,-0.09
314.8,-0.09
315.58,-0.03
316.43,-0.01
316.97,0.14
317.58,-0.36
319.02,-0.16
320.03,-0.08
319.59,0.01
318.18,-0.02
315.91,-0.01
314.16,0.05
313.83,0.07
315,-0.11
316.19,0.18
316.93,0.07
317.7,0.18
318.54,0.09
319.48,0.15
320.58,0.13
319.77,0.12
318.57,-0.03
316.79,0.02
314.8,0.05
315.38,0
316.1,0.03
317.01,-0.15
317.94,0.08
318.56,0.14
319.68,0.12
320.63,0.05
321.01,-0.06
320.55,0.06
319.58,-0.02
317.4,-0.02
316.26,-0.01
315.42,-0.03
316.69,0.06
317.69,-0.01
318.74,-0.03
319.08,0.19
319.86,-0.13
321.39,-0.05
322.25,-0.09
321.47,0.03
319.74,0.08
317.77,0.25
316.21,0.2
315.99,0.15
317.12,0.15
318.31,0
319.57,-0.06
null,-0.12
null,-0.22
null,-0.3
322.25,-0.25
321.89,-0.07
320.44,-0.07
318.7,-0.2
316.7,-0.28
316.79,-0.3
317.79,-0.21
318.71,-0.3
319.44,-0.09
320.44,-0.17
320.89,-0.11
322.13,-0.2
322.16,-0.14
321.87,-0.08
321.39,-0.12
318.81,-0.01
317.81,-0.15
317.3,-0.04
318.87,-0.06
319.42,-0.05
320.62,-0.16
321.59,0
322.39,0.04
323.87,-0.13
324.01,-0.1
323.75,0.02
322.39,0.09
320.37,-0.1
318.64,-0.01
318.1,-0.15
319.79,-0.02
321.08,-0.06
322.07,-0.06
322.5,-0.2
323.04,0.03
324.42,-0.05
325,0.14
324.09,-0.08
322.55,0.01
320.92,0.02
319.31,-0.04
319.31,0.06
320.72,-0.06
321.96,-0.02
322.57,-0.23
323.15,-0.15
323.89,0.21
325.02,-0.05
325.57,-0.1
325.36,-0.06
324.14,-0.11
322.03,-0.11
320.41,-0.18
320.25,0.12
321.31,-0.04
322.84,-0.14
324,-0.11
324.42,-0.14
325.64,0
326.66,0.19
327.34,0.2
326.76,0.05
325.88,-0.01
323.67,0.03
322.38,0.1
321.78,0.11
322.85,0.12
324.11,0.27
325.03,0.09
325.99,0.22
326.87,0.08
328.13,0.09
328.07,-0.05
327.66,-0.03
326.35,-0.04
324.69,-0.11
323.1,0.11
323.16,0.05
323.98,0.01
325.13,-0.13
326.17,-0.02
326.68,-0.2
327.18,-0.18
327.78,-0.09
328.92,-0.06
328.57,-0.18
327.34,-0.12
325.46,-0.03
323.36,-0.01
323.57,-0.05
324.8,-0.04
326.01,-0.08
326.77,-0.24
327.63,-0.17
327.75,0.02
329.72,-0.01
330.07,-0.03
329.09,0.04
328.05,0.02
326.32,0.18
324.93,0.03
325.06,0.09
326.5,0.03
327.55,0.18
328.54,0.28
329.56,0.3
330.3,0.26
331.5,0.25
332.48,0.26
332.07,0.16
330.87,0.09
329.31,0.02
327.51,0.06
327.18,0.12
328.16,0.06
328.64,-0.06
329.35,-0.14
330.71,-0.28
331.48,-0.05
332.65,-0.1
333.2,-0.01
332.16,-0.05
331.07,-0.03
329.12,0.12
327.32,-0.12
327.28,-0.07
328.3,-0.07
329.58,-0.09
330.73,0.07
331.46,0.07
331.9,0.14
333.17,0.06
333.94,0.16
333.45,-0.02
331.98,-0.03
329.95,-0.2
328.5,-0.03
328.35,-0.09
329.37,-0.16
null,-0.17
331.59,0
332.75,-0.06
333.52,-0.21
334.64,-0.1
334.77,-0.23
334,-0.15
333.06,-0.12
330.68,-0.18
328.95,-0.09
328.75,-0.26
330.15,-0.06
331.62,0.09
332.66,0.18
333.13,0.2
334.95,0.25
336.13,0.27
336.93,0.3
336.17,0.25
334.88,0.23
332.56,0.19
331.29,0.02
331.27,0.04
332.41,0.2
333.6,0.05
334.95,0.08
335.25,0.14
336.66,0.21
337.69,0.15
338.03,0.07
338.01,-0.03
336.41,0.07
334.41,-0.18
332.37,0.05
332.41,0
333.75,0.16
334.9,0.11
336.14,0.14
336.69,-0.09
338.27,0.19
338.95,0.13
